AREA_ACRES,AREA_SQKM,STATES,HUC_10,HU_10_NAME,HU_10_MOD,HU_10_TYPE,VERTICES,Shape_Length,Shape_Area
240501.447,972.2108813,"CO,UT",1405000705,Dripping Rock Creek-White River,NM,S,109,1.533943889,0.102657663
184114.136,745.2830602,"CO,UT",1405000706,Evacuation Creek,NM,S,97,1.334308787,0.078334645
78590.345,318.6982515,"CO,UT",1406000101,Jones Hole Creek,OT,S,84,1.265815077,0.033935344
133371.888,539.2388451,CO,1018000106,Canadian River,RS,S,77,1.254419942,0.057502427
155784.464,629.7961128,"CO,WY",1018000201,North Platte River-Douglas Creek,IT,S,114,1.586669474,0.067481222
230427.302,933.092954,"CO,NE",1025000503,Foerster Branch,NM,S,274,3.677535703,0.099063373
87208.856,352.6520692,"CO,NE",1025000603,1025000603,NM,S,106,1.574942727,0.037638221
160800.033,648.5165738,CO,1019000101,Middle Fork South Platte River,NM,S,89,1.480871376,0.067639116
211409.195,855.7134389,CO,1025000104,Alder Creek-Arikaree River,NM,S,119,1.689722719,0.089838099
252579.804,1021.87898,"CO,KS",1025000311,Cherry Creek-South Fork Republican River,NM,S,120,1.751501679,0.107364176
167599.051,678.3332001,CO,1018000101,Grizzly Creek,NM,S,108,1.546943474,0.07203128
175074.2,709.7828647,CO,1018000104,Illinois River,RS,S,117,1.814143779,0.075413862
160838.915,650.8487485,CO,1019000310,Sanborn Draw-South Platte River,NM,S,118,1.429776116,0.069066715
88243.126,357.157728,"CO,WY",1019000705,Dale Creek,NM,S,93,1.254524204,0.038243805
238164.27,963.9197851,"CO,WY",1019000902,Middle Crow Creek,IT,S,154,2.486051646,0.103049158
98794.669,400.6755615,CO,1019001003,Middle Kiowa Creek,NM,S,124,1.899405094,0.0419919
160429.568,649.201506,CO,1019001302,Sand Creek,NM,S,112,1.535217088,0.068213201
108822.968,439.7052163,"CO,NE",1019001606,Cow Creek,NM,S,151,2.087578879,0.047084716
166518.772,672.8840099,CO,1401000302,Upper Eagle River,NM,S,84,1.285167037,0.070428792
65757.061,266.6275269,CO,1401000305,Gypsum Creek,NM,S,69,0.880377261,0.027929664
185347.791,748.8900865,CO,1401000405,Fryingpan River,NM,S,118,1.629498319,0.078241153
62987.283,254.4419776,CO,1401000410,Outlet Roaring Fork River,NM,S,60,0.906183259,0.026629247
99272.889,402.1035499,CO,1401000506,Garfield Creek-Colorado River,NM,S,102,1.598298006,0.042115662
124677.165,504.9445897,CO,1402000210,Crystal Creek-Gunnison River,NM,S,99,1.495385748,0.052152496
110470.818,447.7532948,CO,1402000301,Headwaters Tomichi Creek,NM,S,75,1.135843369,0.046195453
159084.699,644.5599533,CO,1402000502,Roubideau Creek,NM,S,59,1.281710238,0.066587155
42325.853,170.8797197,CO,1408010113,Beaver Creek,NM,S,49,0.757883934,0.017359189
198046.577,800.1590927,CO,1408010501,Headwaters La Plata River,NM,S,83,1.400511388,0.081220998
111873.228,452.4503055,"CO,UT",1403000101,Bitter Creek,NM,S,86,1.078287833,0.047241972
22875.97,93.21350528,CO,1301000106,Miners Creek,NM,S,36,0.491112775,0.009548437
71966.142,289.6587536,CO,1403000302,Horsefly Creek,NM,S,80,1.116025423,0.029804484
127408.509,516.0356287,CO,1301000110,Shallow Creek-Rio Grande,NM,S,117,1.804373048,0.052766028
57676.628,233.3794812,"CO,NM",1301000208,Sanchez Reservoir,NM,S,55,0.746556507,0.02363343
99070.16,399.3293222,"CO,NM",1301000502,Rio de Los Pinos,NM,S,88,1.384869151,0.040414533
187427.122,756.5844095,"CO,UT",1403000505,East Canyon-Hatch Wash,NM,S,102,1.602746214,0.077647604
75495.93,305.819374,"CO,UT",1408020303,Monument Canyon,OT,S,83,1.251152126,0.031241512
166198.229,673.1661791,"CO,NM",1301000504,Outlet Conejos River,NM,S,136,2.358181912,0.068258088
